precinct_id,district_id,total,white,black,asian,hispanic,other,GEOID,democratic_votes,republican_votes,total_votes,district,representative,party,incumbent_race,margin
112,3,2223,1459,450,106,143,65,45007-Anderson 1/1,392,592,1005,3,Jeff Duncan,Republican,White,0.68
113,3,1344,1160,72,26,54,32,45007-Anderson 1/2,275,714,1015,3,Jeff Duncan,Republican,White,0.68
114,3,1505,1260,126,17,51,51,45007-Anderson 2/1,318,696,1030,3,Jeff Duncan,Republican,White,0.68
115,3,4374,3389,594,45,239,107,45007-Anderson 2/2,573,1145,1748,3,Jeff Duncan,Republican,White,0.68
116,3,1453,779,521,4,73,76,45007-Anderson 3/1,228,217,452,3,Jeff Duncan,Republican,White,0.68
117,3,1489,768,607,9,48,57,45007-Anderson 3/2,291,325,625,3,Jeff Duncan,Republican,White,0.68
118,3,2038,557,1319,10,72,80,45007-Anderson 4/1,431,125,567,3,Jeff Duncan,Republican,White,0.68
119,3,2440,844,1435,15,65,81,45007-Anderson 4/2,813,365,1192,3,Jeff Duncan,Republican,White,0.68
120,3,1844,520,1089,6,142,87,45007-Anderson 5/B,425,161,598,3,Jeff Duncan,Republican,White,0.68
121,3,2300,1740,340,21,123,76,45007-Anderson 6/1,515,830,1376,3,Jeff Duncan,Republican,White,0.68
122,3,1892,778,914,5,123,72,45007-Anderson 6/2,334,204,547,3,Jeff Duncan,Republican,White,0.68
123,3,1435,778,467,2,130,58,45007-Appleton-Equinox,213,223,443,3,Jeff Duncan,Republican,White,0.68
124,3,455,426,6,3,7,13,45007-Barker's Creek-Mcadams,34,312,348,3,Jeff Duncan,Republican,White,0.68
125,3,2632,2007,426,10,89,100,45007-Belton,307,989,1313,3,Jeff Duncan,Republican,White,0.68
126,3,2190,1737,318,18,54,63,45007-Belton Annex,307,1011,1340,3,Jeff Duncan,Republican,White,0.68
127,3,2423,1957,302,13,58,93,45007-Bishop's Branch,357,1192,1567,3,Jeff Duncan,Republican,White,0.68
128,3,931,825,49,0,29,28,45007-Bowling Green,140,648,794,3,Jeff Duncan,Republican,White,0.68
129,3,678,305,344,1,10,18,45007-Broadview,257,209,472,3,Jeff Duncan,Republican,White,0.68
130,3,1031,797,168,9,22,35,45007-Broadway,140,471,616,3,Jeff Duncan,Republican,White,0.68
131,3,2563,2228,187,7,60,81,45007-Brushy Creek,386,1553,1960,3,Jeff Duncan,Republican,White,0.68
132,3,1896,1619,138,1,65,73,45007-Cedar Grove,172,919,1096,3,Jeff Duncan,Republican,White,0.68
133,3,2828,2324,353,4,76,71,45007-Center Rock,436,1509,1966,3,Jeff Duncan,Republican,White,0.68
134,3,3263,2663,391,27,73,109,45007-Centerville Station A,588,1579,2188,3,Jeff Duncan,Republican,White,0.68
135,3,3242,2338,611,42,116,135,45007-Centerville Station B,584,1377,1984,3,Jeff Duncan,Republican,White,0.68
136,3,1059,753,247,6,22,31,45007-Chiquola Mill,136,255,397,3,Jeff Duncan,Republican,White,0.68
137,3,3740,2746,402,335,137,120,45007-Concrete,655,1742,2426,3,Jeff Duncan,Republican,White,0.68
138,3,1572,1113,93,33,302,31,45007-Cox's Creek,241,545,797,3,Jeff Duncan,Republican,White,0.68
