precinct_id,total,white,black,asian,hispanic,other
284,987,927,8,3,33,16
285,1022,980,2,1,18,21
286,983,925,7,9,16,26
287,912,875,11,4,16,6
288,937,882,7,12,14,22
289,1346,1241,13,10,35,47
290,1473,1210,83,29,102,49
291,885,814,19,6,35,11
292,699,657,9,5,23,5
293,986,908,10,14,29,25
294,743,687,12,10,13,21
295,832,804,4,7,11,6
296,934,838,13,7,52,24
297,553,525,10,0,5,13
298,1041,698,194,15,78,56
299,909,459,343,14,69,24
300,731,607,66,11,22,25
301,1301,1096,78,3,81,43
302,990,778,123,5,44,40
303,949,728,171,9,18,23
304,1371,1164,88,27,65,27
305,1218,958,97,15,111,37
306,703,404,175,7,75,42
307,762,680,39,11,21,11
308,916,746,56,3,63,48
309,1548,1504,9,5,10,20
310,1168,810,278,17,41,22
311,1333,1027,128,38,90,50
312,1312,900,302,16,44,50
313,1945,1505,105,59,186,90
314,816,600,80,27,68,41
315,822,738,20,8,33,23
316,1585,1076,298,27,111,73
317,1639,852,552,44,121,70
318,1161,812,75,21,194,59
319,876,747,73,9,29,18
320,623,555,21,7,20,20
321,1127,1059,12,3,34,19
322,1659,893,151,52,516,47
323,1433,668,532,20,153,60
324,933,301,592,6,22,12
325,1630,734,762,3,81,50
326,1219,656,488,5,28,42
327,879,129,715,1,13,21
328,1117,699,174,5,212,27
329,1307,304,922,3,51,27
330,1309,410,788,3,71,37
331,1388,1337,18,6,17,10
332,1272,647,549,3,29,44
333,1382,503,736,1,99,43
334,1122,1063,20,9,11,19
335,1408,1325,35,7,36,5
336,1816,1098,435,57,156,70
337,1138,1081,34,2,8,13
338,928,897,17,0,8,6
339,1328,1291,7,2,16,12
340,1460,1391,23,4,25,17
341,1330,1284,13,6,19,8
342,1201,1113,21,13,31,23
343,631,583,18,11,9,10
344,726,698,9,3,13,3
345,977,487,455,1,4,30
346,276,240,9,3,11,13
347,1678,795,488,61,179,155
348,1470,993,419,6,21,31
349,1715,1449,147,12,33,74
350,2849,1490,885,70,230,174
351,35,32,0,0,0,3
352,1236,336,808,8,48,36
353,3224,2181,504,109,233,197
354,1793,1645,52,12,35,49
355,1522,1211,115,30,75,91
356,1975,1419,315,61,106,74
357,1953,1514,101,20,116,202
358,1096,840,92,25,89,50
359,3047,1722,805,115,191,214
360,2441,1187,817,42,225,170
361,1441,941,392,4,47,57
362,1331,824,415,11,28,53
363,2410,1422,676,67,130,115
364,2353,2085,19,48,148,53
365,1848,1624,108,24,47,45
366,1915,1729,66,31,45,44
367,3167,2823,38,101,111,94
368,2758,1665,538,65,210,280
369,1948,1267,337,90,156,98
370,2616,1489,610,68,296,153
371,697,221,460,0,1,15
372,1805,935,641,39,109,81
373,1449,912,263,39,155,80
374,1981,1480,191,137,89,84
375,2009,1492,161,95,148,113
376,2777,1818,534,70,183,172
377,2674,1849,211,217,186,211
378,1915,1181,418,30,191,95
379,1958,1261,218,47,337,95
380,1920,982,313,53,506,66
381,1880,1397,177,57,176,73
382,2921,942,1050,152,565,212
383,2330,1113,1091,1,55,70
384,1479,935,393,14,68,69
385,3107,1497,942,108,381,179
386,1513,727,376,30,271,109
387,1536,760,688,0,50,38
388,574,292,259,0,4,19
389,898,722,111,0,11,54
390,2690,1430,771,157,175,157
391,1991,1627,78,16,136,134
392,1746,1587,72,0,37,50
393,224,213,1,4,3,3
394,1046,702,312,0,10,22
395,2947,1517,847,136,282,165
396,2409,1480,808,19,41,61
397,2029,1023,783,9,101,113
398,2527,1179,1105,14,84,145
399,1610,1231,266,4,62,47
400,1439,409,959,6,22,43
401,2058,1559,212,48,138,101
402,739,447,175,33,60,24
403,1523,876,480,11,89,67
404,1217,1017,108,1,36,55
405,1973,1638,234,7,24,70
406,1505,941,352,17,110,85
407,1422,291,1091,2,12,26
408,1446,932,230,13,148,123
409,1877,1310,292,22,156,97
410,1542,960,354,23,120,85
411,2279,993,690,154,285,157
412,4682,3281,390,161,632,218
413,755,378,152,105,46,74
414,2072,1350,386,38,180,118
415,399,278,110,0,4,7
416,2275,1045,368,155,581,126
417,1582,337,1176,8,14,47
418,1663,885,672,0,24,82
419,1449,1064,175,54,87,69
420,2861,1410,642,25,592,192
421,1754,1308,176,150,56,64
422,2587,1528,535,104,311,109
423,2263,1291,361,81,394,136
424,1977,1053,559,46,199,120
425,2620,2286,76,34,103,121
426,1661,1105,296,35,128,97
427,1223,525,526,16,46,110
428,2678,1686,729,27,111,125
429,2595,1626,521,86,238,124
430,1397,1064,144,53,58,78
431,1875,1375,246,60,84,110
432,2131,1420,260,51,220,180
433,1654,1284,138,40,88,104
434,2345,1174,832,76,152,111
435,1071,530,394,15,65,67
436,301,217,45,5,25,9
437,327,235,37,11,28,16
438,3016,2250,477,58,140,91
439,1090,781,218,6,45,40
440,696,348,317,2,11,18
441,1277,654,565,0,29,29
442,224,125,79,1,16,3
443,2009,578,1338,3,50,40
444,553,330,187,0,17,19
445,253,152,91,0,8,2
446,1043,629,370,2,24,18
447,333,249,74,0,0,10
448,495,205,270,0,10,10
449,1901,1534,250,0,47,70
450,1549,863,589,6,35,56
451,1363,791,541,2,7,22
452,686,656,1,3,13,13
453,1304,959,210,18,78,39
454,1911,1588,143,62,56,62
455,3713,2637,731,103,147,95
456,1299,844,363,14,31,47
457,1578,1187,261,25,50,55
458,1827,565,1130,16,54,62
459,1253,678,471,12,38,54
460,1077,655,351,12,21,38
461,1432,649,705,3,39,36
462,863,389,431,6,13,24
463,869,830,11,5,16,7
464,1293,899,307,15,34,38
