precinct_id,district,representative,party,incumbent_race,margin
186,3,Jeff Duncan,Republican,White,0.68
187,3,Jeff Duncan,Republican,White,0.68
188,3,Jeff Duncan,Republican,White,0.68
189,3,Jeff Duncan,Republican,White,0.68
190,3,Jeff Duncan,Republican,White,0.68
191,6,Jim Clyburn,Democrat,Black,0.65
192,6,Jim Clyburn,Democrat,Black,0.65
193,6,Jim Clyburn,Democrat,Black,0.65
194,6,Jim Clyburn,Democrat,Black,0.65
195,6,Jim Clyburn,Democrat,Black,0.65
196,6,Jim Clyburn,Democrat,Black,0.65
197,6,Jim Clyburn,Democrat,Black,0.65
198,6,Jim Clyburn,Democrat,Black,0.65
199,6,Jim Clyburn,Democrat,Black,0.65
200,6,Jim Clyburn,Democrat,Black,0.65
201,6,Jim Clyburn,Democrat,Black,0.65
202,6,Jim Clyburn,Democrat,Black,0.65
203,6,Jim Clyburn,Democrat,Black,0.65
204,2,Joe Wilson,Republican,White,0.6
205,2,Joe Wilson,Republican,White,0.6
206,2,Joe Wilson,Republican,White,0.6
207,2,Joe Wilson,Republican,White,0.6
208,2,Joe Wilson,Republican,White,0.6
209,2,Joe Wilson,Republican,White,0.6
210,2,Joe Wilson,Republican,White,0.6
211,2,Joe Wilson,Republican,White,0.6
212,2,Joe Wilson,Republican,White,0.6
213,2,Joe Wilson,Republican,White,0.6
214,2,Joe Wilson,Republican,White,0.6
215,2,Joe Wilson,Republican,White,0.6
216,2,Joe Wilson,Republican,White,0.6
217,2,Joe Wilson,Republican,White,0.6
218,2,Joe Wilson,Republican,White,0.6
219,1,Nancy Mace,Republican,White,0.55
220,1,Nancy Mace,Republican,White,0.55
221,1,Nancy Mace,Republican,White,0.55
222,1,Nancy Mace,Republican,White,0.55
223,1,Nancy Mace,Republican,White,0.55
224,1,Nancy Mace,Republican,White,0.55
225,1,Nancy Mace,Republican,White,0.55
226,1,Nancy Mace,Republican,White,0.55
227,1,Nancy Mace,Republican,White,0.55
228,1,Nancy Mace,Republican,White,0.55
229,1,Nancy Mace,Republican,White,0.55
230,1,Nancy Mace,Republican,White,0.55
231,1,Nancy Mace,Republican,White,0.55
232,1,Nancy Mace,Republican,White,0.55
233,1,Nancy Mace,Republican,White,0.55
234,1,Nancy Mace,Republican,White,0.55
235,1,Nancy Mace,Republican,White,0.55
236,1,Nancy Mace,Republican,White,0.55
237,1,Nancy Mace,Republican,White,0.55
238,1,Nancy Mace,Republican,White,0.55
239,1,Nancy Mace,Republican,White,0.55
