precinct_id,GEOID,democratic_votes,republican_votes,total_votes
460,45019-Charleston 17,599,133,758
461,45019-Charleston 18,685,211,929
462,45019-Charleston 19,417,91,518
463,45019-Charleston 2,297,380,687
464,45019-Charleston 20,702,232,956
465,45019-Charleston 21,360,60,424
466,45019-Charleston 3,406,303,725
467,45019-Charleston 4,357,310,676
468,45019-Charleston 5,317,257,582
469,45019-Charleston 6,434,274,717
470,45019-Charleston 7,458,298,765
471,45019-Charleston 8,476,163,661
472,45019-Charleston 9,285,142,437
473,45019-Christ Church,353,466,825
474,45019-Deer Park 1A,487,270,775
475,45019-Deer Park 1B,1130,838,2011
476,45019-Deer Park 2A,878,723,1623
477,45019-Deer Park 2B,667,381,1061
478,45019-Deer Park 2C,369,313,691
479,45019-Deer Park 3,946,401,1373
480,45019-Edisto Island,614,712,1344
481,45019-Folly Beach 1,371,315,692
482,45019-Folly Beach 2,456,402,880
483,45019-Isle Of Palms 1A,294,486,803
484,45019-Isle Of Palms 1B,447,662,1122
485,45019-Isle Of Palms 1C,561,848,1426
486,45019-James Island 10,627,589,1238
487,45019-James Island 11,762,753,1549
488,45019-James Island 12,517,557,1094
489,45019-James Island 13,630,683,1333
490,45019-James Island 14,299,386,691
491,45019-James Island 15,679,544,1247
492,45019-James Island 17,670,620,1327
493,45019-James Island 19,721,581,1328
494,45019-James Island 1A,922,745,1695
495,45019-James Island 1B,613,193,822
496,45019-James Island 20,653,486,1159
497,45019-James Island 22,738,484,1258
498,45019-James Island 3,509,113,640
499,45019-James Island 5A,524,630,1172
500,45019-James Island 5B,258,400,677
501,45019-James Island 6,743,599,1372
502,45019-James Island 7,850,738,1623
503,45019-James Island 8A,723,444,1191
504,45019-James Island 8B,767,595,1392
505,45019-James Island 9,566,540,1131
506,45019-Johns Island 1A,639,968,1629
507,45019-Johns Island 1B,1137,1089,2263
508,45019-Johns Island 2,2164,2524,4769
509,45019-Johns Island 3A,1848,2219,4135
510,45019-Johns Island 3B,788,835,1654
511,45019-Johns Island 4,495,450,967
512,45019-Kiawah Island,859,876,1761
513,45019-Ladson,1130,780,1940
514,45019-Lincolnville,763,588,1375
515,45019-McClellanville,767,579,1359
516,45019-Mt. Pleasant 1,554,584,1166
517,45019-Mt. Pleasant 10,335,534,880
518,45019-Mt. Pleasant 11,508,649,1175
519,45019-Mt. Pleasant 12,975,1100,2102
520,45019-Mt. Pleasant 13,385,362,755
521,45019-Mt. Pleasant 14,460,548,1023
522,45019-Mt. Pleasant 15,1000,960,1998
523,45019-Mt. Pleasant 16,230,410,653
524,45019-Mt. Pleasant 17,914,1323,2274
525,45019-Mt. Pleasant 18,403,588,1004
526,45019-Mt. Pleasant 19,708,846,1580
527,45019-Mt. Pleasant 2,353,515,887
528,45019-Mt. Pleasant 20,585,586,1191
529,45019-Mt. Pleasant 21,602,705,1326
530,45019-Mt. Pleasant 22,784,862,1675
531,45019-Mt. Pleasant 23,822,805,1650
532,45019-Mt. Pleasant 24,290,361,659
533,45019-Mt. Pleasant 25,361,545,918
534,45019-Mt. Pleasant 26,402,18,427
535,45019-Mt. Pleasant 27,997,1405,2446
536,45019-Mt. Pleasant 28,403,517,940
537,45019-Mt. Pleasant 29,121,140,263
538,45019-Mt. Pleasant 3,697,597,1321
539,45019-Mt. Pleasant 30,708,948,1679
540,45019-Mt. Pleasant 31,544,811,1370
541,45019-Mt. Pleasant 32,755,1453,2235
542,45019-Mt. Pleasant 33,1323,2518,3889
543,45019-Mt. Pleasant 34,562,879,1454
544,45019-Mt. Pleasant 35,1692,2716,4472
545,45019-Mt. Pleasant 36,663,777,1478
546,45019-Mt. Pleasant 37,1417,1610,3062
547,45019-Mt. Pleasant 38,573,957,1551
548,45019-Mt. Pleasant 39,1636,2851,4532
549,45019-Mt. Pleasant 4,548,609,1176
550,45019-Mt. Pleasant 5,412,529,952
551,45019-Mt. Pleasant 6,689,831,1551
552,45019-Mt. Pleasant 7,365,458,833
553,45019-Mt. Pleasant 8,348,358,720
554,45019-Mt. Pleasant 9,364,507,894
555,45019-North Charleston 1,456,80,548
556,45019-North Charleston 10,441,121,585
557,45019-North Charleston 11,396,276,684
558,45019-North Charleston 12,494,273,794
559,45019-North Charleston 13,345,65,416
560,45019-North Charleston 14,351,162,530
