precinct_id,state,total_votes,ei_white_dem_vote_fraction,ei_white_rep_vote_fraction,ei_white_party_of_choice,ei_white_precinct_confidence,ei_black_dem_vote_fraction,ei_black_rep_vote_fraction,ei_black_party_of_choice,ei_black_precinct_confidence,ei_asian_dem_vote_fraction,ei_asian_rep_vote_fraction,ei_asian_party_of_choice,ei_asian_precinct_confidence,ei_hispanic_dem_vote_fraction,ei_hispanic_rep_vote_fraction,ei_hispanic_party_of_choice,ei_hispanic_precinct_confidence
46,Oregon,4552,0.299967,0.700033,republican,0.7,0.939287,0.060713,democratic,0.9393,0.938098,0.061902,democratic,0.9381,0.0,1.0,republican,1.0
47,Oregon,4839,0.120677,0.879323,republican,0.8793,0.939287,0.060713,democratic,0.9393,0.938098,0.061902,democratic,0.9381,0.0,1.0,republican,1.0
48,Oregon,59,0.553547,0.446453,democratic,0.5535,0.939287,0.060713,democratic,0.9393,1.0,0.0,democratic,1.0,1.0,0.0,democratic,1.0
49,Oregon,170,0.427018,0.572982,republican,0.573,0.939287,0.060713,democratic,0.9393,0.961329,0.038671,democratic,0.9613,1.0,0.0,democratic,1.0
50,Oregon,259,0.718985,0.281015,democratic,0.719,0.939287,0.060713,democratic,0.9393,0.938098,0.061902,democratic,0.9381,1.0,0.0,democratic,1.0
51,Oregon,3425,0.22321,0.77679,republican,0.7768,0.939287,0.060713,democratic,0.9393,0.938098,0.061902,democratic,0.9381,0.157459,0.842541,republican,0.8425
52,Oregon,2119,0.208871,0.791129,republican,0.7911,0.939287,0.060713,democratic,0.9393,0.938098,0.061902,democratic,0.9381,0.0,1.0,republican,1.0
53,Oregon,3558,0.326461,0.673539,republican,0.6735,0.939287,0.060713,democratic,0.9393,0.938098,0.061902,democratic,0.9381,0.0,1.0,republican,1.0
54,Oregon,1286,0.321176,0.678824,republican,0.6788,0.939287,0.060713,democratic,0.9393,0.938098,0.061902,democratic,0.9381,0.118261,0.881739,republican,0.8817
55,Oregon,76,0.121082,0.878918,republican,0.8789,0.939287,0.060713,democratic,0.9393,0.938098,0.061902,democratic,0.9381,0.0,1.0,republican,1.0
