precinct_id,state,total_votes,ei_white_dem_vote_fraction,ei_white_rep_vote_fraction,ei_white_party_of_choice,ei_white_precinct_confidence,ei_black_dem_vote_fraction,ei_black_rep_vote_fraction,ei_black_party_of_choice,ei_black_precinct_confidence,ei_asian_dem_vote_fraction,ei_asian_rep_vote_fraction,ei_asian_party_of_choice,ei_asian_precinct_confidence,ei_hispanic_dem_vote_fraction,ei_hispanic_rep_vote_fraction,ei_hispanic_party_of_choice,ei_hispanic_precinct_confidence
101,South Carolina,685,0.037611,0.962389,republican,0.9624,0.27709,0.72291,republican,0.7229,0.737317,0.262683,democratic,0.7373,0.0,1.0,republican,1.0
102,South Carolina,513,0.0,1.0,republican,1.0,0.036096,0.963904,republican,0.9639,0.737317,0.262683,democratic,0.7373,0.0,1.0,republican,1.0
103,South Carolina,1035,0.093886,0.906114,republican,0.9061,0.543561,0.456439,democratic,0.5436,0.0,1.0,republican,1.0,0.0,1.0,republican,1.0
104,South Carolina,577,0.354147,0.645853,republican,0.6459,0.971508,0.028492,democratic,0.9715,0.737317,0.262683,democratic,0.7373,1.0,0.0,democratic,1.0
105,South Carolina,508,1.0,0.0,democratic,1.0,1.0,0.0,democratic,1.0,0.737317,0.262683,democratic,0.7373,0.865562,0.134438,democratic,0.8656
106,South Carolina,288,0.075498,0.924502,republican,0.9245,0.820099,0.179901,democratic,0.8201,0.737317,0.262683,democratic,0.7373,0.865562,0.134438,democratic,0.8656
107,South Carolina,581,0.681873,0.318127,democratic,0.6819,1.0,0.0,democratic,1.0,0.737317,0.262683,democratic,0.7373,1.0,0.0,democratic,1.0
108,South Carolina,176,0.193752,0.806248,republican,0.8062,0.884234,0.115766,democratic,0.8842,0.737317,0.262683,democratic,0.7373,0.865562,0.134438,democratic,0.8656
109,South Carolina,242,0.0,1.0,republican,1.0,0.078405,0.921595,republican,0.9216,0.737317,0.262683,democratic,0.7373,0.865562,0.134438,democratic,0.8656
110,South Carolina,144,0.0,1.0,republican,1.0,0.294724,0.705276,republican,0.7053,0.737317,0.262683,democratic,0.7373,0.0,1.0,republican,1.0
111,South Carolina,504,0.0,1.0,republican,1.0,0.797433,0.202567,democratic,0.7974,0.737317,0.262683,democratic,0.7373,1.0,0.0,democratic,1.0
112,South Carolina,1005,0.112481,0.887519,republican,0.8875,0.689352,0.310648,democratic,0.6894,0.231875,0.768125,republican,0.7681,0.557577,0.442423,democratic,0.5576
113,South Carolina,1015,0.167962,0.832038,republican,0.832,0.0,1.0,republican,1.0,0.737317,0.262683,democratic,0.7373,0.0,1.0,republican,1.0
114,South Carolina,1030,0.189858,0.810142,republican,0.8101,0.250221,0.749779,republican,0.7498,0.737317,0.262683,democratic,0.7373,0.0,1.0,republican,1.0
115,South Carolina,1748,0.155649,0.844351,republican,0.8444,0.415103,0.584897,republican,0.5849,0.737317,0.262683,democratic,0.7373,0.0,1.0,republican,1.0
116,South Carolina,452,0.144761,0.855239,republican,0.8552,0.844918,0.155082,democratic,0.8449,0.737317,0.262683,democratic,0.7373,1.0,0.0,democratic,1.0
117,South Carolina,625,0.038897,0.961103,republican,0.9611,0.685759,0.314241,democratic,0.6858,0.737317,0.262683,democratic,0.7373,1.0,0.0,democratic,1.0
118,South Carolina,567,0.334778,0.665222,republican,0.6652,1.0,0.0,democratic,1.0,0.737317,0.262683,democratic,0.7373,1.0,0.0,democratic,1.0
119,South Carolina,1192,0.231854,0.768146,republican,0.7681,0.939749,0.060251,democratic,0.9397,0.737317,0.262683,democratic,0.7373,1.0,0.0,democratic,1.0
120,South Carolina,598,0.177496,0.822504,republican,0.8225,0.985676,0.014324,democratic,0.9857,0.737317,0.262683,democratic,0.7373,1.0,0.0,democratic,1.0
121,South Carolina,1376,0.198599,0.801401,republican,0.8014,0.721243,0.278757,democratic,0.7212,0.737317,0.262683,democratic,0.7373,0.298893,0.701107,republican,0.7011
122,South Carolina,547,0.167415,0.832585,republican,0.8326,0.927885,0.072115,democratic,0.9279,0.737317,0.262683,democratic,0.7373,1.0,0.0,democratic,1.0
123,South Carolina,443,0.10983,0.89017,republican,0.8902,0.826407,0.173593,democratic,0.8264,0.737317,0.262683,democratic,0.7373,1.0,0.0,democratic,1.0
124,South Carolina,348,0.041715,0.958285,republican,0.9583,0.749882,0.250118,democratic,0.7499,0.737317,0.262683,democratic,0.7373,0.865562,0.134438,democratic,0.8656
125,South Carolina,1313,0.020094,0.979906,republican,0.9799,0.0,1.0,republican,1.0,0.737317,0.262683,democratic,0.7373,0.0,1.0,republican,1.0
126,South Carolina,1340,0.048892,0.951108,republican,0.9511,0.0,1.0,republican,1.0,0.737317,0.262683,democratic,0.7373,0.0,1.0,republican,1.0
127,South Carolina,1567,0.062975,0.937025,republican,0.937,0.0,1.0,republican,1.0,0.737317,0.262683,democratic,0.7373,0.0,1.0,republican,1.0
128,South Carolina,794,0.080756,0.919244,republican,0.9192,0.0,1.0,republican,1.0,0.737317,0.262683,democratic,0.7373,0.0,1.0,republican,1.0
129,South Carolina,472,0.085118,0.914882,republican,0.9149,0.768201,0.231799,democratic,0.7682,0.737317,0.262683,democratic,0.7373,0.865562,0.134438,democratic,0.8656
130,South Carolina,616,0.023852,0.976148,republican,0.9761,0.0,1.0,republican,1.0,0.737317,0.262683,democratic,0.7373,0.0,1.0,republican,1.0
131,South Carolina,1960,0.088202,0.911798,republican,0.9118,0.0,1.0,republican,1.0,0.737317,0.262683,democratic,0.7373,0.0,1.0,republican,1.0
132,South Carolina,1096,0.026359,0.973641,republican,0.9736,0.0,1.0,republican,1.0,0.737317,0.262683,democratic,0.7373,0.0,1.0,republican,1.0
133,South Carolina,1966,0.070321,0.929679,republican,0.9297,0.0,1.0,republican,1.0,0.737317,0.262683,democratic,0.7373,0.0,1.0,republican,1.0
134,South Carolina,2188,0.121976,0.878024,republican,0.878,0.0,1.0,republican,1.0,0.737317,0.262683,democratic,0.7373,0.0,1.0,republican,1.0
135,South Carolina,1984,0.0524,0.9476,republican,0.9476,0.209397,0.790603,republican,0.7906,0.737317,0.262683,democratic,0.7373,0.0,1.0,republican,1.0
136,South Carolina,397,0.107868,0.892132,republican,0.8921,0.436211,0.563789,republican,0.5638,0.737317,0.262683,democratic,0.7373,0.0,1.0,republican,1.0
137,South Carolina,2426,0.034658,0.965342,republican,0.9653,0.0,1.0,republican,1.0,0.0,1.0,republican,1.0,0.0,1.0,republican,1.0
138,South Carolina,797,0.047631,0.952369,republican,0.9524,0.116306,0.883694,republican,0.8837,0.0,1.0,republican,1.0,0.0,1.0,republican,1.0
139,South Carolina,797,0.033987,0.966013,republican,0.966,0.0,1.0,republican,1.0,0.737317,0.262683,democratic,0.7373,0.865562,0.134438,democratic,0.8656
140,South Carolina,1396,0.160243,0.839757,republican,0.8398,0.0,1.0,republican,1.0,0.737317,0.262683,democratic,0.7373,0.0,1.0,republican,1.0
141,South Carolina,1430,0.101922,0.898078,republican,0.8981,0.516057,0.483943,democratic,0.5161,0.0,1.0,republican,1.0,0.0,1.0,republican,1.0
142,South Carolina,1543,0.129002,0.870998,republican,0.871,0.0,1.0,republican,1.0,0.737317,0.262683,democratic,0.7373,0.0,1.0,republican,1.0
143,South Carolina,1365,0.132306,0.867694,republican,0.8677,0.0,1.0,republican,1.0,0.737317,0.262683,democratic,0.7373,0.865562,0.134438,democratic,0.8656
