precinct_a,precinct_b,length
1471,1484,123.99887275535363
1479,1480,67.42797717134727
1485,2090,64.5495071953226
1487,1489,245.79952937692815
1490,2031,1969.1356612630586
1491,1494,120.53052686219387
1493,1496,122.47620210632635
1513,1586,157.69723984978404
1517,1597,122.06861768315252
1519,1540,122.35627208750293
1524,1965,121.24242316401646
1526,1556,153.8438017999909
1526,1596,72.32720419817358
1528,1904,92.31333930067403
1533,1596,121.97748517457147
1535,1552,147.5658869837039
1539,1596,147.05566305032258
1541,1581,101.72917003320316
1542,1581,134.9257491192117
1548,1581,121.8943862650845
1549,1830,121.80995977286076
1549,1897,129.18997853128104
1550,1606,61.305098716336374
1553,1567,122.99159273060289
1553,1605,132.93360084151385
1557,1563,121.23756480603848
1558,1583,61.40555070661527
1566,1567,124.20390836027029
1567,1606,122.06612078291494
1572,1579,123.66451775916023
1576,1594,121.88948603049047
1578,1585,128.9806007076607
1583,1584,121.85575354285751
1583,1588,68.41280389072148
1587,1608,121.86495843123748
1597,1857,132.3994877419118
1605,1608,65.34670106519907
1625,1634,121.84101077945985
1627,1635,130.96415553482086
1628,1633,122.39228264221796
1629,1632,122.04246816097049
1653,1657,122.63284269065106
1658,1676,165.35986106017276
1664,1666,122.04212069965757
1667,1669,122.21303104274249
1694,1701,122.51885560054703
1698,1794,122.4904695328334
1699,1789,122.09159302890069
1700,1708,122.15020216742043
1702,1709,158.5902552866509
1703,1706,123.13477559391428
1703,1705,121.30519756198835
1704,1770,120.20908690299625
1713,1725,123.08233805402625
1724,1753,97.14371425733407
1725,1752,1127.7868065343073
1728,1750,74.37644493200352
1731,1765,102.77561966084409
1739,1759,122.78706674846832
1741,1760,122.55733043668164
1744,1755,100.8694941145516
1766,1772,65.97045494921724
1770,1793,489.6568383205174
1770,1788,78.94393002612861
1779,1783,123.67298912506301
1781,1796,128.07006664904526
1788,1793,66.80029503257582
1790,1810,121.329782586153
1797,1823,189.97052899562146
1798,1815,64.06096164591554
1804,1814,134.19042997104646
1832,1925,122.63785372922186
1842,1844,125.85438104160086
1844,1971,122.08348980981799
1849,1927,87.91440480730998
1851,1881,122.71244282912079
1854,1869,133.31227026483594
1858,1970,122.11167987768415
1859,1881,122.99578171901462
1860,1870,105.37059073571743
1862,1946,81.86420755789126
1866,1934,71.9462497826817
1867,1970,132.20892584497386
1870,1929,121.81655124242184
1874,1932,132.78809851256358
1874,1952,124.0750495525214
1875,1912,63.21720970239052
1877,1913,122.71731808370247
1883,1957,121.86555672863926
1887,1963,122.09804056383173
1888,1912,137.99441387597574
1896,1975,126.82657508168002
1899,1936,121.83882026500974
1926,1966,122.85492189849322
1941,1953,61.38512302087535
1943,1962,121.82152245983033
1970,2123,63.72361973811688
1971,1972,121.90445440281461
1993,2053,123.91177372807883
1996,2076,309.5901935850478
1996,2083,121.85904313206977
1997,2082,149.95334266149507
2001,2002,80.96443995255258
2002,2074,79.51002466300646
2026,2069,1413.6262786536272
2027,2054,123.96596787633132
2038,2092,198.3035896529292
2057,2085,122.32737128544743
2058,2091,5806.80222966818
2058,2083,128.9700188764243
2059,2084,94.38732499393016
2061,2164,63.538261924621985
2068,2167,131.7216629436108
2102,2136,121.87888751395863
2103,2145,121.8546689024462
2110,2126,122.32852501693532
2117,2122,124.32034375048603
2120,2142,121.91369960482952
2121,2145,121.85940136568088
2122,2150,138.95871036294392
2123,2149,122.33256225944953
2138,2157,73.16037799728392
2143,2154,63.29271187769721
2165,2178,212.8007638069263
2174,2176,122.30502891300208
2175,2177,121.88939650064206
2208,2266,78.98551716015632
2209,2244,183.1683676516146
2211,2237,63.32111050160321
2212,2219,122.19153931464973
2214,2253,86.27730333240312
2221,2252,126.2969615736345
2228,2230,122.82913716208482
2228,2290,128.48073785433218
2232,2248,121.89618376743971
2233,2277,121.94541892084212
2235,2280,129.81798751498093
2237,2290,61.33599413586356
2237,2238,157.207418940429
2238,2239,65.38185028954965
2242,2292,185.2528002616547
2244,2300,61.30654873036065
2245,2269,122.84261687114824
2248,2273,66.17460353500951
2253,2261,116.92847873399484
2256,2271,131.79559944206255
2258,2268,76.92607194430988
2262,2267,62.34214506151288
2273,2301,140.29115306850792
2276,2280,88.0415763370886
